"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Bradi1g00291.v3.1" 2.42894781244261 -0.488950904201453 2.43536125035412 -0.200771406759616 0.840877321763796 0.915655094055012
"Bradi1g00300.v3.1" 0.508078173434297 6.06200706567407 12.3005060968482 0.492825825046936 0.622135661531355 NA
"Bradi1g00322.v3.1" 0.0222359890777903 0.472808256493072 12.3535594419714 0.038273038529017 0.969469987168024 NA
"Bradi1g00330.v3.1" 1.81413281050088 0.472841125939052 3.68691928705808 0.128248298680915 0.897952478799777 NA
"Bradi1g00332.v3.1" 0.655061621175566 4.01755398701392 4.42660798534909 0.907591998277454 0.36409382346932 NA
"Bradi1g00335.v3.1" 0.969867743255753 0.634723905444816 3.22305782557595 0.196932211519163 0.843880586097491 NA
"Bradi1g00341.v3.1" 8.05228082971539 -0.488951548466863 1.81540832900633 -0.269334199174074 0.787672517043719 0.889945756478269
"Bradi1g00345.v3.1" 1.4703791966067 0.472841804412936 3.27469891440579 0.144392451572524 0.885190577121069 NA
"Bradi1g00350.v3.1" 0.169577961092297 2.54560529870039 12.3340602044772 0.206388266029085 0.836487635882725 NA
"Bradi1g00360.v3.1" 0.0788349545429953 0.472808256493071 12.3535594419713 0.038273038529017 0.969469987168024 NA
"Bradi1g00361.v3.1" 1.55007330847745 2.50738001331167 2.07070115858181 1.21088453682468 0.225939659759357 NA
"Bradi1g00362.v3.1" 3.51591605451102 3.75505692713102 1.66742571797074 2.25200852227524 0.0243217334630879 0.088375046518791
"Bradi1g00364.v3.1" 3.44304153649328 2.73212749156619 2.14847957268123 1.27165625696715 0.203495279022088 0.390792855139398
"Bradi1g00365.v3.1" 0 NA NA NA NA NA
"Bradi1g00366.v3.1" 0.728221151014544 -3.102203556447 6.32863463084986 -0.490185282829389 0.624002794072872 NA
"Bradi1g00368.v3.1" 0.659778219043373 0.262509353913338 5.19906316610686 0.0504916646569441 0.959730591574206 NA
"Bradi1g00370.v3.1" 33.4451746905659 8.73195553424125 1.27366779446512 6.85575592959722 7.09364003390995e-12 4.42263874193376e-10
"Bradi1g00381.v3.1" 0.30284585733624 0.472808256493073 12.3535594419713 0.0382730385290172 0.969469987168024 NA
"Bradi1g00385.v3.1" 0.00469012138457946 0.472808256493072 12.3535594419714 0.0382730385290171 0.969469987168024 NA
"Bradi1g00390.v3.1" 0.0785909806742171 1.79560197377082 12.3290511641457 0.145639915826826 0.884205655652689 NA
"Bradi1g00400.v3.1" 0.149346379126047 0.472808256493073 12.3535594419714 0.0382730385290171 0.969469987168024 NA
"Bradi1g00405.v3.1" 0.008728135575611 0.472808256493076 12.3535594419714 0.0382730385290174 0.969469987168024 NA
"Bradi1g00410.v3.1" 10.1995950821657 2.54367382766255 1.10312986480179 2.30586978815917 0.0211179092247537 0.0793433618068462
"Bradi1g00412.v3.1" 0.9397337185208 2.21394243817141 2.52559554099852 0.876602132935391 0.380702780274907 NA
"Bradi1g00413.v3.1" 0.00383239112518277 0.472808256493069 12.3535594419713 0.0382730385290168 0.969469987168024 NA
"Bradi1g00415.v3.1" 0.00493910548216538 0.472808256493072 12.3535594419714 0.038273038529017 0.969469987168024 NA
"Bradi1g00417.v3.1" 46.4358655580882 0.442336735527232 0.978552031750073 0.452031901396335 0.651246000718314 0.795726583190124
"Bradi1g00427.v3.1" 57.0748110460564 1.79652914677307 0.693073977964534 2.59211744184833 0.00953872028554391 0.0433841254157241
"Bradi1g00438.v3.1" 0.015011253486725 0.472808256493064 12.3535594419713 0.0382730385290165 0.969469987168024 NA
"Bradi1g00450.v3.1" 387.300262927833 1.34762433292229 0.188946625075994 7.13230168773997 9.87042319773175e-13 7.12367391130279e-11
"Bradi1g00455.v3.1" 0.0505868555234245 0.472808256493072 12.3535594419713 0.0382730385290171 0.969469987168024 NA
"Bradi1g00460.v3.1" 258.080610172546 0.172170304650483 0.238445210919323 0.722053942650733 0.470261313400768 0.659885346069
"Bradi1g00470.v3.1" 589.897603767191 0.668725843016137 0.172878175783644 3.86819122763677 0.000109645665007585 0.00117222199075172
"Bradi1g00480.v3.1" 931.16759290656 0.312618862947584 0.117302705019093 2.66506098812213 0.00769743616164599 0.0367620443760977
"Bradi1g00482.v3.1" 4.18736501217212 -1.48237528223683 1.13703069819995 -1.30372494303241 0.192327381749245 0.376055122768202
"Bradi1g00485.v3.1" 38.3751279951255 0.196205774011472 0.445812874604107 0.440107913405838 0.659858950759797 0.802346033745969
"Bradi1g00491.v3.1" 16.3908554391105 -0.357900731050136 0.724508544252258 -0.493991042465226 0.621312505610465 0.773776401540503
"Bradi1g00497.v3.1" 488.290390806426 0.0783069347552825 0.141088774087666 0.555018889785137 0.578881739983355 0.743542746899579
"Bradi1g00510.v3.1" 176.683670463429 -0.0456390750402376 0.25705239083983 -0.177547755502789 0.859078157557584 0.924049222042124
"Bradi1g00517.v3.1" 503.205630395402 -0.325132546625386 0.151206557052274 -2.15025428105597 0.0315351066268278 0.106761594854373
"Bradi1g00530.v3.1" 280.99919102568 0.29565744216781 0.184509853519698 1.60239378292198 0.109068558765353 0.25800881495244
"Bradi1g00535.v3.1" 0.66670957102116 4.01452560820963 12.3105873981813 0.326103497612365 0.744346050844415 NA
"Bradi1g00540.v3.1" 46.1608111296565 0.792325352829923 0.405579005829379 1.95356599193214 0.050752565794905 0.150625147548258
"Bradi1g00552.v3.1" 12.1381186254603 6.60759451754812 1.19195566008134 5.54349019752734 2.96501280063242e-08 9.18606917863829e-07
"Bradi1g00560.v3.1" 3804.17912892489 -0.315411368837969 0.141032447751318 -2.23644539867969 0.0253226101497569 0.0910009850837605
"Bradi1g00563.v3.1" 14.0204780182838 -1.13373605473757 0.901891713840995 -1.25706449825245 0.208730281268226 0.397144424740424
"Bradi1g00567.v3.1" 545.949201344861 0.224506210691007 0.16425519647702 1.36681344338726 0.171683787942164 0.350634172600927
"Bradi1g00580.v3.1" 1048.45793618923 -0.0185914251282316 0.140420104088307 -0.132398599537712 0.894669022333042 0.94158372684263
"Bradi1g00587.v3.1" 31.0553705490413 -0.710366207653853 0.562180980075728 -1.26358989868025 0.20637726108513 0.394492710951829
"Bradi1g00600.v3.1" 43.1217654483541 1.29839179738958 1.87953069852481 0.690806379703534 0.489687225841093 0.675798793042885
"Bradi1g00607.v3.1" 16.3513817102564 1.91983646147684 0.790067270874156 2.42996581715462 0.0151002469099264 0.0617844410603033
"Bradi1g00620.v3.1" 1132.21190756359 0.262418896633731 0.19088865739962 1.37472231304118 0.169217550908186 0.347099434666103
"Bradi1g00625.v3.1" 0.691675842086979 0.472837720884515 5.2910781173662 0.0893650992096645 0.928791759258913 NA
"Bradi1g00630.v3.1" 1.03253335628776 0.472839604775506 4.47519432601605 0.105657893340342 0.915853789526519 NA
"Bradi1g00642.v3.1" 7.79631821856367 -2.66314111697379 1.26017854019485 -2.11330460885487 0.0345747045121178 0.113999500099905
"Bradi1g00654.v3.1" 0.240219998188942 2.40452913921662 12.3378340221066 0.194890702444874 0.84547851300698 NA
"Bradi1g00666.v3.1" 4.52787490794858 3.34687946553614 2.33661309102295 1.43236356861756 0.152039799113915 0.323573797444865
"Bradi1g00672.v3.1" 0.645844159150554 2.47389640219954 12.3171477736163 0.200849778509494 0.840816038319527 NA
"Bradi1g00678.v3.1" 224.243993505471 0.569834415828385 0.237260751092105 2.40172221155607 0.0163180948439676 0.0655325530819284
"Bradi1g00690.v3.1" 48.9642909611665 0.194952554021549 0.465429018742176 0.418866349477755 0.675313811146841 0.814615937053437
