"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"4345",0.44,0.4,0.36,0.29,0.3,0.23,0.19,0.18,0.15,0.16,0.17,0.16,0.17,0.2,0.22,0.24,0.33,0.38,0.2
"4346",0.14,0.11,0.09,0.05,0.04,0.02,0.02,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.05,0
"4347",0.69,0.66,0.61,0.51,0.4,0.3,0.2,0.18,0.18,0.16,0.16,0.21,0.23,0.31,0.35,0.41,0.46,0.53,0.25
"4348",0.04,0.03,0.01,0.01,0.01,0.01,0.02,0.03,0.07,0.1,0.27,0.35,0.42,0.5,0.57,0.58,0.62,0.63,0.06
"4349",0.2,0.15,0.14,0.13,0.09,0.08,0.08,0.09,0.15,0.18,0.21,0.22,0.29,0.28,0.3,0.35,0.35,0.41,0.17
"4350",0.06,0.05,0.04,0.03,0.03,0.03,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.03
"4351",0.48,0.52,0.54,0.53,0.53,0.54,0.5,0.45,0.38,0.36,0.29,0.28,0.24,0.21,0.2,0.18,0.15,0.14,0.36
"4352",0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0.01,0.03,0.05,0.12,0.17,0.25,0
"4353",0.14,0.15,0.14,0.16,0.14,0.13,0.12,0.13,0.1,0.1,0.08,0.08,0.12,0.14,0.17,0.24,0.25,0.32,0.07
"4354",0.43,0.45,0.45,0.44,0.43,0.39,0.34,0.3,0.27,0.24,0.23,0.25,0.27,0.26,0.32,0.36,0.37,0.39,0.33
"4355",0.41,0.42,0.45,0.47,0.45,0.56,0.62,0.69,0.75,0.8,0.89,0.96,0.97,0.97,0.92,0.91,0.86,0.82,0.8
"4356",0.29,0.23,0.19,0.16,0.14,0.14,0.17,0.15,0.16,0.17,0.24,0.27,0.32,0.4,0.48,0.51,0.59,0.66,0.25
"4357",0.9,0.82,0.76,0.67,0.57,0.38,0.28,0.18,0.14,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.08
"4358",0.25,0.17,0.11,0.07,0.06,0.05,0.04,0.04,0.02,0.03,0.03,0.05,0.12,0.17,0.23,0.3,0.41,0.52,0.06
"4359",0.94,0.93,0.87,0.79,0.65,0.55,0.43,0.35,0.3,0.27,0.26,0.23,0.23,0.27,0.33,0.38,0.54,0.67,0.39
"4360",0.67,0.69,0.63,0.6,0.57,0.53,0.51,0.46,0.48,0.51,0.57,0.62,0.7,0.83,0.91,0.94,0.96,0.99,0.75
"4361",0.73,0.74,0.73,0.72,0.71,0.75,0.8,0.86,0.92,0.93,0.95,0.95,0.96,0.95,0.97,1,0.99,0.99,0.98
"4362",0,0,0,0,0.01,0.01,0.01,0.04,0.05,0.09,0.11,0.18,0.23,0.35,0.38,0.41,0.45,0.46,0.03
"4363",0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.04,0.04,0.06,0.06,0.08,0
"4364",0.57,0.52,0.46,0.39,0.33,0.33,0.35,0.37,0.41,0.46,0.52,0.63,0.61,0.55,0.44,0.39,0.37,0.36,0.49
"4365",0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0.02,0.02,0.02,0.11,0.17,0.34,0.41,0.47,0
"4366",0.16,0.14,0.12,0.11,0.08,0.08,0.07,0.07,0.07,0.1,0.13,0.11,0.11,0.14,0.15,0.18,0.16,0.16,0.11
"4367",0.39,0.37,0.32,0.25,0.11,0.06,0.05,0.03,0,0,0,0.02,0.07,0.09,0.11,0.16,0.25,0.32,0.04
"4368",0.41,0.33,0.29,0.25,0.21,0.16,0.12,0.11,0.11,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.08,0.1
"4369",0.29,0.25,0.19,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.14,0.19,0.22,0.28,0.33,0.33,0.36,0.38,0.17
"4370",0.66,0.64,0.64,0.53,0.5,0.36,0.29,0.19,0.13,0.1,0.08,0.04,0.03,0.03,0.05,0.07,0.11,0.17,0.1
"4371",0.22,0.18,0.16,0.13,0.11,0.1,0.08,0.1,0.13,0.15,0.17,0.21,0.27,0.28,0.36,0.41,0.48,0.52,0.12
"4372",0.04,0.04,0.03,0.02,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0.02,0.02,0
"4373",0.6,0.65,0.68,0.82,0.95,0.99,1,0.95,0.89,0.79,0.75,0.78,0.77,0.76,0.78,0.87,0.88,0.88,0.94
"4374",0.48,0.44,0.42,0.42,0.39,0.37,0.3,0.24,0.19,0.15,0.09,0.07,0.06,0.06,0.08,0.07,0.11,0.14,0.14
"4375",0.44,0.38,0.29,0.21,0.16,0.12,0.11,0.11,0.15,0.18,0.26,0.4,0.52,0.65,0.78,0.83,0.81,0.8,0.28
"4376",0.39,0.33,0.28,0.25,0.23,0.2,0.16,0.15,0.15,0.21,0.28,0.37,0.44,0.56,0.74,0.79,0.87,0.93,0.35
"4377",0.27,0.25,0.25,0.19,0.14,0.1,0.05,0.04,0.04,0.03,0.03,0.04,0.07,0.08,0.09,0.1,0.13,0.15,0.04
"4378",0.04,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.06,0.12,0.16,0
"4379",0.62,0.62,0.64,0.67,0.65,0.64,0.62,0.57,0.5,0.46,0.44,0.47,0.5,0.52,0.58,0.59,0.69,0.77,0.64
"4380",0.82,0.78,0.69,0.57,0.48,0.37,0.28,0.17,0.15,0.13,0.1,0.1,0.14,0.2,0.27,0.37,0.47,0.55,0.24
"4381",0.28,0.29,0.29,0.32,0.31,0.3,0.34,0.34,0.38,0.4,0.44,0.49,0.5,0.54,0.55,0.6,0.62,0.64,0.41
"4382",0.41,0.32,0.24,0.19,0.13,0.09,0.07,0.06,0.06,0.07,0.1,0.15,0.16,0.18,0.2,0.26,0.3,0.32,0.07
"4383",0.23,0.14,0.09,0.07,0.05,0.02,0.02,0.02,0.02,0.03,0.05,0.07,0.08,0.21,0.28,0.33,0.36,0.41,0.03
"4384",0.02,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.07,0.07,0
"4385",0.51,0.39,0.27,0.19,0.13,0.11,0.12,0.14,0.18,0.27,0.37,0.46,0.66,0.79,0.9,0.97,0.98,0.95,0.35
"4386",0.12,0.08,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.06,0.12,0.22,0.32,0.44,0.55,0.59,0.02
"4387",0.96,0.95,0.96,0.95,0.93,0.82,0.72,0.63,0.52,0.37,0.3,0.24,0.2,0.19,0.2,0.18,0.17,0.16,0.49
"4388",0.94,0.97,0.95,0.94,0.88,0.74,0.69,0.58,0.45,0.32,0.25,0.19,0.15,0.13,0.13,0.12,0.12,0.15,0.37
"4389",0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.05,0.05,0
"4390",0.38,0.3,0.24,0.18,0.14,0.12,0.07,0.07,0.08,0.09,0.14,0.3,0.36,0.48,0.58,0.63,0.71,0.78,0.16
"4391",0.92,0.93,0.93,0.93,0.95,0.95,0.95,0.97,0.95,0.9,0.86,0.81,0.77,0.73,0.71,0.73,0.78,0.83,0.98
"4392",0.4,0.34,0.3,0.26,0.22,0.2,0.21,0.23,0.22,0.28,0.36,0.45,0.53,0.6,0.77,0.86,0.95,0.95,0.37
"4393",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.02,0.08,0.09,0.11,0.14,0.24,0.31,0.38,0.01
"4394",0.32,0.33,0.28,0.25,0.22,0.22,0.22,0.25,0.26,0.34,0.36,0.4,0.4,0.44,0.45,0.44,0.42,0.39,0.29
"4395",0.31,0.24,0.18,0.15,0.12,0.07,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.05,0.05,0.08,0.1,0.02
"4396",0.03,0.02,0.04,0.1,0.14,0.2,0.37,0.5,0.57,0.66,0.78,0.81,0.82,0.84,0.83,0.83,0.82,0.82,0.4
"4397",0.55,0.66,0.73,0.83,0.94,0.99,0.98,0.78,0.5,0.33,0.19,0.06,0.03,0.03,0.03,0,0,0,0.12
"4398",0.05,0.04,0.03,0.01,0.01,0.01,0.02,0.02,0.06,0.14,0.37,0.56,0.79,0.93,0.94,0.81,0.72,0.63,0.07
"4399",0.86,0.79,0.73,0.61,0.46,0.38,0.34,0.28,0.24,0.25,0.31,0.4,0.53,0.64,0.8,0.86,0.95,0.94,0.52
"4400",0.22,0.2,0.14,0.12,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.12,0.12,0.16,0.21,0.23,0.25,0.32,0.07
"4401",0.24,0.17,0.11,0.06,0.05,0.02,0.01,0.01,0.01,0.02,0.03,0.08,0.13,0.24,0.38,0.57,0.72,0.82,0.02
"4402",0.43,0.43,0.41,0.41,0.43,0.53,0.57,0.67,0.74,0.82,0.88,0.92,0.94,0.9,0.81,0.79,0.76,0.72,0.79
"4403",0.43,0.38,0.37,0.35,0.3,0.28,0.26,0.24,0.24,0.29,0.34,0.46,0.53,0.61,0.64,0.69,0.71,0.74,0.37
"4404",0.74,0.74,0.75,0.78,0.76,0.72,0.72,0.7,0.65,0.65,0.68,0.68,0.65,0.65,0.62,0.57,0.48,0.36,0.75
"4405",0.96,0.91,0.89,0.84,0.83,0.79,0.76,0.71,0.71,0.66,0.57,0.51,0.46,0.46,0.46,0.46,0.47,0.49,0.83
"4406",0.13,0.12,0.1,0.08,0.09,0.11,0.14,0.2,0.31,0.43,0.56,0.69,0.77,0.8,0.78,0.73,0.73,0.71,0.33
"4407",0.58,0.54,0.47,0.39,0.35,0.39,0.4,0.39,0.39,0.38,0.37,0.33,0.33,0.31,0.29,0.23,0.22,0.21,0.37
"4408",0.68,0.59,0.48,0.36,0.29,0.23,0.21,0.18,0.14,0.16,0.22,0.24,0.32,0.34,0.39,0.44,0.48,0.55,0.34
"4409",0.26,0.23,0.18,0.14,0.13,0.1,0.07,0.04,0.02,0.01,0.02,0.05,0.06,0.08,0.13,0.18,0.25,0.34,0.05
"4410",0.15,0.13,0.1,0.09,0.1,0.09,0.08,0.07,0.04,0.06,0.07,0.07,0.08,0.1,0.11,0.11,0.1,0.1,0.03
"4411",0.06,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.07,0.12,0.18,0.31,0.34,0.39,0.45,0.53,0.56,0.06
"4412",0.74,0.69,0.64,0.57,0.5,0.49,0.51,0.55,0.55,0.6,0.63,0.66,0.72,0.8,0.85,0.87,0.92,0.92,0.76
"4413",0.61,0.57,0.5,0.42,0.41,0.37,0.35,0.34,0.35,0.34,0.36,0.35,0.39,0.46,0.49,0.49,0.52,0.54,0.4
"4414",0.45,0.39,0.29,0.22,0.18,0.13,0.13,0.09,0.08,0.08,0.09,0.09,0.13,0.13,0.16,0.21,0.25,0.27,0.1
