"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"10202",0.61,0.53,0.46,0.43,0.35,0.29,0.29,0.26,0.27,0.31,0.36,0.48,0.55,0.6,0.66,0.73,0.75,0.7,0.42
"10203",0.97,0.98,0.97,0.95,0.86,0.7,0.51,0.35,0.26,0.19,0.16,0.15,0.18,0.24,0.29,0.34,0.46,0.51,0.34
"10204",0.58,0.65,0.76,0.8,0.84,0.91,0.88,0.81,0.65,0.5,0.39,0.33,0.28,0.26,0.24,0.3,0.33,0.39,0.59
"10205",0.24,0.23,0.24,0.26,0.36,0.38,0.47,0.56,0.69,0.73,0.85,0.9,0.94,0.97,0.99,0.99,1,1,0.65
"10206",0.39,0.43,0.43,0.41,0.39,0.36,0.28,0.23,0.21,0.14,0.11,0.1,0.11,0.13,0.17,0.19,0.26,0.29,0.19
"10207",0.97,0.92,0.88,0.85,0.72,0.58,0.41,0.3,0.21,0.09,0.05,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.12
"10208",0.05,0.05,0.08,0.08,0.09,0.08,0.1,0.12,0.1,0.09,0.08,0.07,0.06,0.08,0.07,0.07,0.06,0.04,0.03
"10209",0.2,0.19,0.18,0.19,0.22,0.22,0.18,0.18,0.18,0.3,0.35,0.37,0.43,0.47,0.48,0.49,0.52,0.52,0.23
"10210",0.44,0.49,0.57,0.65,0.74,0.86,0.97,1,0.98,0.99,0.95,0.91,0.88,0.88,0.87,0.91,0.87,0.9,0.96
"10211",0.98,0.99,0.97,0.94,0.8,0.65,0.52,0.38,0.23,0.12,0.1,0.11,0.12,0.14,0.16,0.18,0.21,0.3,0.34
"10212",0.09,0.09,0.17,0.24,0.31,0.41,0.46,0.54,0.58,0.67,0.67,0.67,0.66,0.66,0.66,0.67,0.69,0.74,0.49
"10213",0.74,0.67,0.6,0.52,0.45,0.43,0.45,0.45,0.48,0.58,0.71,0.82,0.91,0.98,1,0.98,0.9,0.81,0.74
"10214",0.08,0.09,0.11,0.12,0.17,0.24,0.33,0.52,0.66,0.75,0.79,0.81,0.8,0.77,0.74,0.7,0.63,0.6,0.48
"10215",0.53,0.5,0.49,0.47,0.49,0.45,0.4,0.41,0.48,0.5,0.51,0.58,0.57,0.54,0.51,0.51,0.52,0.54,0.55
"10216",0.43,0.45,0.44,0.46,0.48,0.51,0.56,0.6,0.63,0.62,0.6,0.55,0.52,0.51,0.53,0.56,0.54,0.59,0.6
"10217",0.11,0.13,0.18,0.3,0.45,0.61,0.85,0.96,1,0.93,0.78,0.62,0.5,0.47,0.41,0.42,0.44,0.49,0.57
"10218",0.38,0.41,0.46,0.49,0.58,0.63,0.69,0.73,0.66,0.61,0.57,0.52,0.5,0.43,0.42,0.45,0.43,0.42,0.55
"10219",0.09,0.08,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.08,0.1,0.2,0.31,0.42,0.61,0.83,0.88,0.93,0.1
"10220",0.26,0.29,0.29,0.3,0.35,0.39,0.42,0.48,0.5,0.62,0.74,0.77,0.77,0.78,0.85,0.84,0.84,0.89,0.58
"10221",0.14,0.15,0.13,0.16,0.17,0.2,0.16,0.17,0.14,0.13,0.09,0.08,0.08,0.06,0.06,0.09,0.13,0.19,0.09
"10222",0.22,0.21,0.2,0.17,0.17,0.17,0.19,0.16,0.21,0.25,0.24,0.22,0.2,0.21,0.18,0.22,0.22,0.26,0.19
"10223",0.21,0.16,0.13,0.1,0.05,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.05,0.13,0.16,0.23,0.02
"10224",0.2,0.17,0.19,0.2,0.23,0.22,0.27,0.43,0.55,0.59,0.7,0.83,0.87,0.94,0.93,0.93,0.95,0.96,0.54
"10225",0.87,0.9,0.91,0.91,0.86,0.83,0.8,0.75,0.7,0.73,0.69,0.65,0.63,0.64,0.65,0.67,0.71,0.72,0.89
