"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"15326",0.19,0.18,0.17,0.16,0.15,0.19,0.26,0.33,0.44,0.61,0.74,0.77,0.76,0.69,0.65,0.58,0.52,0.49,0.33
"15327",0.15,0.12,0.1,0.07,0.02,0.02,0.02,0.01,0.03,0.03,0.02,0.03,0.05,0.09,0.14,0.24,0.33,0.39,0.02
"15328",0.16,0.14,0.11,0.09,0.08,0.1,0.1,0.18,0.3,0.4,0.55,0.72,0.76,0.83,0.84,0.87,0.82,0.8,0.32
"15329",0.65,0.66,0.75,0.78,0.78,0.82,0.76,0.72,0.69,0.6,0.54,0.5,0.46,0.44,0.43,0.44,0.46,0.47,0.68
"15330",0.81,0.83,0.8,0.77,0.71,0.65,0.55,0.36,0.28,0.17,0.11,0.07,0.06,0.04,0.03,0.05,0.06,0.07,0.21
"15331",0.89,0.88,0.91,0.94,0.96,0.98,1,0.99,0.99,0.94,0.92,0.86,0.84,0.8,0.75,0.75,0.73,0.71,0.98
"15332",0.52,0.51,0.44,0.39,0.29,0.27,0.25,0.21,0.16,0.09,0.06,0.04,0.04,0.04,0.05,0.08,0.08,0.09,0.07
"15333",0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.06,0.07,0.1,0.22,0.44,0.66,0.83,0.89,0.93,0.86,0.8,0.08
"15334",0.54,0.5,0.39,0.31,0.19,0.04,0.04,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.06,0.09,0.1,0.12,0.03
"15335",0.75,0.7,0.63,0.56,0.52,0.45,0.37,0.32,0.3,0.31,0.3,0.25,0.28,0.32,0.3,0.33,0.34,0.41,0.43
"15336",0.06,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.04,0.09,0.14,0.22,0.32,0.39,0.54,0.65,0.77,0.83,0.07
"15337",0.32,0.4,0.48,0.57,0.64,0.76,0.83,0.95,0.97,0.98,0.99,0.98,0.89,0.84,0.83,0.86,0.81,0.82,0.9
"15338",0.2,0.17,0.1,0.06,0.06,0.02,0.01,0.02,0.02,0.04,0.03,0.04,0.05,0.06,0.09,0.12,0.19,0.24,0.02
"15339",0.29,0.28,0.26,0.28,0.29,0.29,0.32,0.32,0.36,0.43,0.51,0.46,0.45,0.4,0.34,0.31,0.3,0.27,0.31
