"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"8314",0.19,0.16,0.14,0.12,0.13,0.18,0.23,0.32,0.47,0.57,0.67,0.73,0.8,0.84,0.85,0.85,0.85,0.83,0.5
"8315",0.1,0.12,0.13,0.15,0.19,0.25,0.31,0.48,0.56,0.64,0.66,0.66,0.63,0.58,0.51,0.49,0.46,0.41,0.32
"8316",0.35,0.36,0.34,0.35,0.34,0.34,0.34,0.37,0.4,0.43,0.48,0.51,0.52,0.59,0.68,0.74,0.73,0.74,0.47
"8317",0.34,0.28,0.27,0.23,0.19,0.21,0.24,0.29,0.4,0.51,0.61,0.74,0.81,0.89,0.89,0.88,0.83,0.78,0.52
"8318",0.72,0.7,0.66,0.63,0.57,0.5,0.43,0.36,0.33,0.3,0.33,0.3,0.27,0.28,0.23,0.27,0.27,0.29,0.38
"8319",0.47,0.47,0.45,0.41,0.41,0.37,0.28,0.27,0.22,0.19,0.13,0.17,0.19,0.19,0.21,0.25,0.26,0.34,0.26
"8320",0.05,0.04,0.04,0.05,0.04,0.03,0.04,0.07,0.1,0.13,0.13,0.17,0.2,0.2,0.24,0.25,0.27,0.3,0.03
"8321",0.9,0.9,0.9,0.92,0.96,0.96,0.96,0.97,1,0.98,0.91,0.79,0.66,0.5,0.33,0.24,0.17,0.14,0.87
"8322",0.26,0.21,0.21,0.23,0.24,0.27,0.36,0.5,0.58,0.65,0.7,0.8,0.85,0.92,1,1,0.99,0.96,0.58
"8323",0.43,0.39,0.34,0.33,0.3,0.32,0.31,0.3,0.36,0.38,0.44,0.48,0.45,0.47,0.49,0.53,0.56,0.6,0.44
"8324",0.18,0.15,0.13,0.04,0.03,0.02,0.03,0.03,0.03,0.04,0.08,0.12,0.19,0.31,0.38,0.5,0.56,0.64,0.05
"8325",0.26,0.2,0.12,0.11,0.11,0.09,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.05,0
"8326",0.1,0.1,0.12,0.14,0.16,0.23,0.25,0.32,0.4,0.49,0.44,0.4,0.33,0.28,0.19,0.16,0.13,0.11,0.21
"8327",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.05,0
"8328",0.52,0.5,0.48,0.49,0.48,0.43,0.45,0.45,0.43,0.32,0.28,0.23,0.19,0.17,0.11,0.11,0.08,0.07,0.28
"8329",0.16,0.11,0.08,0.05,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.09,0.15,0.27,0.35,0.45,0.52,0.58,0.04
"8330",0.83,0.8,0.78,0.72,0.72,0.72,0.74,0.72,0.74,0.72,0.71,0.71,0.65,0.59,0.57,0.51,0.49,0.48,0.82
"8331",0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.04,0.01
"8332",0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0
"8333",0.65,0.64,0.62,0.6,0.63,0.67,0.7,0.74,0.78,0.82,0.9,0.91,0.86,0.73,0.67,0.55,0.47,0.37,0.82
"8334",0.08,0.06,0.04,0.03,0.04,0.05,0.07,0.07,0.08,0.05,0.04,0.05,0.03,0.02,0,0,0,0,0.01
"8335",0.33,0.33,0.33,0.38,0.44,0.52,0.63,0.77,0.85,0.93,0.97,0.99,1,1,1,1,1,1,0.86
"8336",0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.06,0.09,0.19,0.28,0.28,0.27,0.32,0.31,0.01
"8337",0.06,0.06,0.05,0.04,0.05,0.05,0.07,0.09,0.12,0.24,0.39,0.56,0.69,0.83,0.85,0.88,0.88,0.83,0.14
"8338",0.46,0.43,0.42,0.47,0.48,0.54,0.65,0.72,0.77,0.76,0.71,0.66,0.62,0.53,0.48,0.46,0.49,0.47,0.68
"8339",0.15,0.11,0.06,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.08,0.12,0.15,0.21,0.29,0.34,0.41,0.06
"8340",0.18,0.18,0.16,0.13,0.15,0.16,0.14,0.2,0.23,0.24,0.26,0.26,0.23,0.25,0.24,0.23,0.23,0.21,0.19
"8341",0.03,0.02,0.02,0.02,0.03,0.05,0.06,0.08,0.12,0.16,0.23,0.28,0.41,0.54,0.71,0.81,0.91,0.94,0.14
"8342",0.23,0.27,0.29,0.33,0.36,0.4,0.46,0.53,0.56,0.6,0.64,0.74,0.79,0.83,0.84,0.86,0.86,0.87,0.6
"8343",0.45,0.41,0.27,0.2,0.13,0.08,0.05,0.02,0,0,0,0,0,0.01,0.02,0.03,0.03,0.03,0.01
"8344",0.62,0.53,0.45,0.35,0.27,0.23,0.2,0.19,0.24,0.32,0.42,0.53,0.62,0.71,0.85,0.88,0.89,0.83,0.46
"8345",0.23,0.15,0.07,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.04,0
"8346",0.58,0.59,0.57,0.56,0.55,0.58,0.67,0.78,0.86,0.93,0.96,0.99,0.98,0.9,0.81,0.78,0.75,0.67,0.89
"8347",0.07,0.07,0.1,0.09,0.12,0.17,0.23,0.29,0.41,0.5,0.61,0.63,0.61,0.52,0.49,0.44,0.42,0.37,0.29
"8348",0.23,0.23,0.23,0.24,0.25,0.28,0.33,0.35,0.42,0.41,0.39,0.31,0.28,0.24,0.21,0.21,0.18,0.16,0.25
"8349",0.3,0.27,0.25,0.21,0.14,0.12,0.11,0.04,0.04,0.03,0.01,0,0,0,0,0,0.02,0.04,0.02
"8350",0.12,0.11,0.11,0.11,0.11,0.15,0.15,0.17,0.21,0.24,0.22,0.23,0.23,0.17,0.15,0.13,0.11,0.11,0.09
"8351",0.04,0.04,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8352",0.6,0.65,0.67,0.69,0.68,0.65,0.56,0.48,0.34,0.24,0.19,0.13,0.1,0.08,0.09,0.11,0.11,0.13,0.25
"8353",0.71,0.69,0.73,0.77,0.8,0.8,0.79,0.71,0.61,0.5,0.33,0.22,0.2,0.17,0.15,0.12,0.11,0.08,0.4
"8354",0.59,0.51,0.43,0.37,0.33,0.3,0.24,0.19,0.19,0.21,0.24,0.25,0.31,0.31,0.33,0.39,0.42,0.49,0.29
