"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"2204",0.56,0.5,0.43,0.37,0.3,0.26,0.18,0.13,0.1,0.04,0.03,0.03,0.01,0.02,0.03,0.04,0.06,0.07,0.05
"2205",0.25,0.28,0.23,0.21,0.2,0.17,0.18,0.19,0.19,0.19,0.2,0.2,0.21,0.22,0.22,0.26,0.31,0.31,0.19
"2206",0.65,0.69,0.77,0.82,0.86,0.83,0.72,0.65,0.52,0.39,0.32,0.26,0.21,0.18,0.19,0.22,0.26,0.31,0.49
"2207",0.99,0.99,1,0.97,0.95,0.92,0.89,0.81,0.72,0.68,0.61,0.56,0.52,0.45,0.37,0.37,0.34,0.36,0.8
"2208",0.88,0.92,0.95,1,0.99,0.93,0.84,0.72,0.57,0.44,0.41,0.33,0.3,0.26,0.23,0.26,0.29,0.31,0.66
"2209",0.44,0.4,0.37,0.38,0.35,0.42,0.5,0.62,0.77,0.87,0.94,1,1,0.98,0.91,0.84,0.76,0.68,0.8
"2210",0.9,0.88,0.9,0.91,0.96,0.96,0.95,0.94,0.88,0.81,0.66,0.45,0.33,0.25,0.21,0.13,0.14,0.11,0.65
"2211",0.28,0.25,0.2,0.15,0.1,0.11,0.1,0.08,0.11,0.1,0.11,0.11,0.11,0.11,0.09,0.1,0.09,0.07,0.07
"2212",0.59,0.64,0.67,0.65,0.6,0.59,0.58,0.54,0.48,0.5,0.49,0.55,0.59,0.64,0.71,0.85,0.86,0.94,0.77
"2213",0.51,0.45,0.4,0.33,0.31,0.32,0.27,0.29,0.28,0.36,0.44,0.49,0.55,0.61,0.67,0.68,0.73,0.76,0.51
"2214",0.04,0.05,0.06,0.09,0.09,0.13,0.17,0.24,0.31,0.39,0.48,0.51,0.62,0.66,0.71,0.75,0.83,0.93,0.23
"2215",0.26,0.26,0.24,0.23,0.21,0.18,0.13,0.07,0.06,0.02,0.01,0.01,0.01,0,0,0.02,0.03,0.04,0.01
"2216",0.56,0.45,0.43,0.38,0.36,0.4,0.43,0.57,0.61,0.65,0.64,0.57,0.49,0.43,0.33,0.29,0.2,0.15,0.5
"2217",0.85,0.86,0.88,0.89,0.94,0.95,0.95,0.97,0.99,1,0.96,0.89,0.88,0.84,0.82,0.82,0.8,0.81,1
"2218",0.88,0.86,0.82,0.74,0.69,0.62,0.52,0.49,0.42,0.34,0.28,0.27,0.22,0.19,0.21,0.22,0.25,0.25,0.42
"2219",0.03,0.03,0.05,0.1,0.18,0.3,0.51,0.65,0.78,0.87,0.79,0.65,0.52,0.41,0.32,0.26,0.2,0.19,0.32
"2220",0,0,0,0,0,0.03,0.04,0.09,0.16,0.3,0.46,0.58,0.74,0.8,0.86,0.89,0.94,0.96,0.14
"2221",0.2,0.19,0.2,0.25,0.27,0.32,0.39,0.45,0.52,0.65,0.76,0.9,0.95,1,0.99,0.97,0.97,0.9,0.63
"2222",0.77,0.69,0.62,0.57,0.45,0.38,0.32,0.29,0.23,0.24,0.29,0.31,0.34,0.36,0.37,0.42,0.44,0.44,0.37
"2223",0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.1,0.13,0.21,0.28,0
"2224",0.62,0.6,0.61,0.54,0.56,0.53,0.5,0.45,0.42,0.33,0.28,0.26,0.25,0.26,0.27,0.25,0.34,0.35,0.39
"2225",0.29,0.25,0.2,0.14,0.12,0.11,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.13,0.16,0.19,0.22,0.22,0.07
"2226",0.27,0.25,0.21,0.17,0.12,0.11,0.11,0.08,0.08,0.05,0.05,0.06,0.09,0.11,0.11,0.12,0.12,0.14,0.05
"2227",0.9,0.85,0.69,0.6,0.48,0.32,0.21,0.12,0.08,0.04,0.01,0.01,0.01,0.01,0.03,0.04,0.07,0.13,0.07
"2228",0.3,0.27,0.24,0.24,0.2,0.17,0.14,0.12,0.13,0.12,0.11,0.1,0.11,0.12,0.19,0.2,0.26,0.32,0.11
"2229",0.71,0.69,0.63,0.52,0.43,0.37,0.27,0.2,0.14,0.08,0.08,0.06,0.06,0.06,0.08,0.09,0.11,0.13,0.1
"2230",0.32,0.25,0.15,0.08,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.03,0.04,0.01
"2231",0.3,0.2,0.13,0.12,0.05,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.04,0.05,0.05,0.09,0.15,0.2,0.01
"2232",0.01,0.01,0.02,0.02,0.04,0.07,0.17,0.25,0.44,0.59,0.7,0.79,0.82,0.9,0.88,0.88,0.87,0.88,0.22
"2233",0.24,0.23,0.24,0.25,0.29,0.33,0.36,0.46,0.56,0.66,0.82,0.93,0.98,0.96,0.92,0.84,0.81,0.77,0.62
"2234",0.37,0.35,0.34,0.33,0.36,0.36,0.32,0.32,0.35,0.36,0.41,0.49,0.58,0.6,0.64,0.66,0.68,0.67,0.48
"2235",0.53,0.51,0.53,0.59,0.65,0.7,0.76,0.82,0.84,0.86,0.87,0.93,0.96,0.97,0.99,0.99,0.97,0.94,0.93
"2236",0.79,0.82,0.83,0.82,0.84,0.9,0.92,0.93,0.96,0.97,0.93,0.9,0.82,0.75,0.66,0.63,0.57,0.51,0.96
"2237",0.24,0.23,0.2,0.16,0.15,0.15,0.17,0.16,0.19,0.21,0.25,0.27,0.34,0.39,0.43,0.46,0.48,0.5,0.25
"2238",0.11,0.1,0.07,0.04,0.04,0.04,0.02,0.04,0.04,0.05,0.06,0.1,0.18,0.25,0.31,0.39,0.47,0.5,0.05
"2239",0.77,0.75,0.71,0.69,0.69,0.71,0.72,0.77,0.82,0.86,0.86,0.84,0.75,0.63,0.52,0.4,0.34,0.23,0.8
"2240",0.04,0.05,0.06,0.08,0.14,0.23,0.26,0.37,0.45,0.59,0.63,0.72,0.83,0.88,0.89,0.91,0.91,0.93,0.36
"2241",0.58,0.63,0.74,0.83,0.94,0.97,0.99,0.97,0.94,0.85,0.71,0.58,0.49,0.43,0.31,0.26,0.24,0.22,0.69
"2242",0.4,0.35,0.32,0.25,0.24,0.24,0.19,0.21,0.21,0.25,0.29,0.3,0.33,0.36,0.39,0.4,0.42,0.42,0.26
"2243",0.16,0.22,0.22,0.26,0.3,0.31,0.3,0.26,0.23,0.21,0.17,0.13,0.1,0.09,0.09,0.1,0.09,0.09,0.12
"2244",0.95,0.93,0.94,0.93,0.9,0.85,0.85,0.85,0.79,0.71,0.62,0.59,0.55,0.52,0.55,0.54,0.58,0.61,0.85
"2245",0.35,0.29,0.21,0.15,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.16,0.21,0.26,0.32,0.33,0.35,0.1
"2246",1,0.97,0.93,0.85,0.74,0.61,0.48,0.34,0.26,0.23,0.21,0.19,0.2,0.24,0.33,0.38,0.47,0.54,0.39
"2247",0.35,0.32,0.3,0.25,0.24,0.19,0.2,0.17,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.14
