"","Gene","Bd.10.1","Bd.10.2","Bd.10.3","Bd.14.1","Bd.14.2","Bd.14.3","Bd.18.1","Bd.18.2","Bd.18.3","Bd.22.1","Bd.22.2","Bd.22.3","Bd.2.1","Bd.2.2","Bd.2.3","Bd.6.1","Bd.6.2","Bd.6.3"
"14841","Bradi5g10950.v3.1",84.0189432,107.2068836,73.06225453,106.0181394,95.86552582,80.28971896,97.98891486,97.1442145,80.62523589,92.70573554,106.5375471,66.49738808,95.80755274,98.00567246,79.60489437,84.49687104,92.09486249,83.43391459
"14842","Bradi5g10954.v3.1",0.917613032,2.61480204,1.325821858,2.769905667,2.551553919,2.706806015,3.637467294,2.276294482,1.808416506,3.269485554,3.01248094,2.770724503,3.318010484,3.222907017,0.150766845,0.169162905,1.594088887,0.913510014
"14843","Bradi5g10970.v3.1",17.20524434,18.55665964,18.04064743,20.28955901,21.23257368,21.3983989,24.01470754,27.65028297,16.87855406,19.3005115,30.29860638,16.0810677,25.88048178,24.68453783,12.36288132,12.01056625,15.43367877,15.60579607
"14846","Bradi5g11000.v3.1",10.03639253,10.88095042,6.202952264,9.694669836,10.84410416,9.108036456,11.246455,12.2518203,6.480159147,9.861190299,7.415337699,10.48529077,11.77893722,16.33427874,7.462958848,5.244050054,6.883565646,6.166192593
"14847","Bradi5g11010.v3.1",0.51615733,1.518272152,0.71026171,1.6619434,1.27577696,3.328639829,1.633148581,1.338996754,1.054909629,0.843738207,3.70766885,3.259675886,2.654408388,2.050940829,2.110735836,1.860791955,1.014420201,0.152251669
"14848","Bradi5g11020.v3.1",3.555750497,1.518272152,3.740711671,1.384952834,1.458030811,2.341021418,5.010796782,3.950040424,1.35631238,3.427686468,3.244210243,2.28177312,3.732761795,2.490428149,0.150766845,2.283699217,3.333094945,0.152251669
"14849","Bradi5g11040.v3.1",27.98719746,19.31579572,20.50288802,31.36918168,21.05031983,19.6792113,28.43163211,25.0392393,20.42003638,24.78480984,24.73710311,18.30851289,24.9680289,31.86283073,18.24278829,19.19998971,25.07067067,20.02109447
"14850","Bradi5g11060.v3.1",18.29490982,15.52011533,16.19396698,24.92915101,20.95919291,23.62968494,24.83128183,28.98927972,30.51702854,29.00350088,29.77721545,21.83982844,22.9772226,25.27052093,18.01663803,22.66782927,23.69395754,17.50894193
"14851","Bradi5g11070.v3.1",11.24075964,6.916573138,12.31120297,9.140688702,8.383677163,17.26503296,7.794572773,7.364482147,13.03566898,9.702989386,5.098044668,16.18972357,11.6130367,11.42667033,12.13673106,9.642285584,9.347157562,10.50536516
"14852","Bradi5g11082.v3.1",5.218924117,8.181799932,5.255936651,6.093792468,4.191838581,7.53516269,5.085030809,6.360234582,5.575950894,10.49399396,7.473270025,4.780857966,7.382573328,5.640087279,8.292176497,3.637002457,3.188177773,3.045033379
"14853","Bradi5g11100.v3.1",72.83553438,71.69618497,128.4153171,70.21710867,89.30438717,105.9312192,90.00875702,89.57888284,148.5915562,101.8813885,86.20330075,138.8078648,60.80254213,60.64925022,118.05044,101.9206502,79.70444433,135.7323629
"14854","Bradi5g11130.v3.1",21.04774891,14.42358545,15.29430215,12.11833729,13.03115037,12.14404861,11.13510396,15.46541251,9.946290783,12.9197413,15.294134,9.507388001,14.43334561,14.06359425,12.21211448,13.7021953,9.854367662,16.29092858
"14855","Bradi5g11147.v3.1",105.5828494,121.1243784,163.7389995,45.77269115,59.05024784,67.23120886,47.39842586,53.29207081,81.75549621,86.48316626,99.3539387,76.3850716,93.89969671,89.5089176,129.8102539,179.5664236,176.5815735,185.2141553
"14856","Bradi5g11170.v3.1",8.143815655,9.109632914,8.191685051,8.378964644,8.383677163,10.20539025,11.54339111,9.975525817,6.02805502,10.01939121,7.299473048,6.573679704,12.27663879,9.815216824,6.784508043,8.627308154,12.10058382,7.612583448
"14857","Bradi5g11205.v3.1",5.046871674,4.807861816,4.356271819,5.124325485,1.002396183,2.853119854,5.344849901,1.338996754,3.390780949,3.37495283,4.866315365,3.476987612,1.493104718,5.420343619,5.126072744,4.482816982,4.275056559,4.643675903
"14858","Bradi5g11230.v3.1",18.46696226,11.97748031,36.08129485,17.03491985,32.80569325,37.71239191,25.12821794,28.38673118,57.191172,25.31214622,17.0900361,43.35368928,13.10614141,12.74513229,39.5009135,14.80175419,13.33237978,18.65082945
"14859","Bradi5g11240.v3.1",132.0789257,132.595768,83.14797081,232.7413237,271.1937308,151.8371861,247.496244,248.8525467,210.3037695,212.0419583,253.5118576,112.7847857,157.605498,157.5562044,96.71693133,98.96029941,101.5869372,82.97715959
"14860","Bradi5g11251.v3.1",8.258517284,8.772239102,5.540041335,7.063259452,2.916061622,8.559359561,6.458360297,7.364482147,5.575950894,5.6952329,9.848495382,6.628007635,10.86648434,10.18145626,6.935274889,5.666957317,4.854725245,3.577914221
"14862","Bradi5g11265.v3.1",15.94352642,14.92967616,3.69336089,4.778087276,6.652265575,3.731002886,8.908083169,8.033980524,1.657715131,10.01939121,8.63191654,2.336101052,8.792727784,19.41068999,3.241487176,6.005283127,7.028482818,1.294139186
"14863","Bradi5g11270.v3.1",10.32314661,10.96529888,5.492690555,6.440030677,5.649869392,4.682042837,9.39060434,4.619538801,6.329457771,9.175653006,8.458119563,2.118789326,7.631424114,17.65274071,11.38289683,10.06519285,4.999642417,2.436026703
"14864","Bradi5g11280.v3.1",3.211645611,2.193059776,3.835413232,4.570344351,2.187046216,2.816541394,4.63962665,3.280542047,2.260520633,2.636681898,2.954548614,3.748627269,2.903259174,2.856667583,3.844554558,2.960350837,4.057680802,1.294139186
