"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"5305","Bradi2g09290.v3.1",36.53271081,32.37654477,28.37845508,40.16350298,34.71579722,31.81490011,34.33413173,33.12441918,40.88715309,43.64243067,36.76257457,34.93677815,35.88614513,35.42144426,42.63241954,36.87094014,29.87090178,22.52118117
"5306","Bradi2g09340.v3.1",40.58527906,57.81525851,43.68788479,39.54844167,53.40253017,50.44071188,42.6161354,45.52067421,56.07380996,52.20386444,48.15730922,62.08510258,50.2971168,55.73421561,55.32172642,39.50457872,42.39125848,40.78836145
"5307","Bradi2g09350.v3.1",73.00582503,55.50264817,62.17122066,60.64504431,69.51464658,68.26108314,66.818884,82.9126566,80.02199962,68.49147015,67.6198487,79.51640378,71.63100622,85.11219071,79.14841057,63.01920891,63.55511016,73.31895648
"5308","Bradi2g09360.v3.1",34.74481306,33.41721942,30.71220961,35.79656774,33.30391073,37.75502386,31.92189765,33.22602783,44.50858665,30.48705683,31.77217983,38.71974139,57.50260263,63.45642621,50.9398075,30.00466812,33.55709817,30.52871225
"5309","Bradi2g09370.v3.1",21.45477307,25.43871374,12.4155741,6.150613013,15.28159495,11.27616713,20.42358187,9.754430188,23.83136923,17.331683,18.46446053,19.5082222,20.62746925,5.204098446,27.11312335,16.36618261,14.23634468,15.51459147
"5310","Bradi2g09380.v3.1",92.49391057,99.78913619,88.86937248,90.59852968,93.01840402,107.4256279,98.01711142,114.817772,129.5538651,90.31268549,96.23144519,89.826833,94.23645197,80.32777762,104.0705745,66.68749122,75.56702598,73.40236826
"5311","Bradi2g09407.v3.1",5.602079635,5.319003783,6.161111957,6.765674314,6.644171716,6.644884199,6.513032014,4.165954559,6.074662745,6.055648275,5.32308772,4.376369238,6.357781617,6.37921745,5.842558566,4.608867518,3.559086169,2.168706335
"5312","Bradi2g09420.v3.1",18.23655711,18.50088272,19.13678714,9.902486951,18.02231578,16.91425069,21.1472521,17.27347012,30.95741591,21.29917669,20.62696492,21.65931894,20.34490118,16.95528848,22.18346456,14.10877811,12.96524247,13.67953227
"5314","Bradi2g09434.v3.1",14.30318205,19.19466583,13.90917699,17.22171644,13.28834343,15.10200954,16.08156053,14.83486258,17.1726043,19.41983757,18.13176755,15.50273171,14.97610781,18.55009285,9.49415767,18.34141155,19.51141882,18.35059207
"5315","Bradi2g09450.v3.1",17.64059119,18.26962169,16.24293152,16.23761835,16.11211641,13.08840827,16.64441515,19.20403443,16.82214299,19.73306076,26.28274562,17.2829497,10.94951279,16.0319807,17.71025565,18.99982119,17.15987974,8.758237122
