	Bd21.10	Bd21.14	Bd21.18	Bd21.22	Bd21.2	Bd21.6	col.10	col.14	col.18	col.22	col.2	col.6	sta.10	sta.14	sta.18	sta.22	sta.2	sta.6	Bh.10	Bh.14	Bh.18	Bh.22	Bh.2	Bh.6
Bradi2g39870.v3.1	0.562407841	0.677840807	0.847537504	0.626029206	0.382188734	1.049636607	1.299307534	1.535320707	0.961713696	0.610360841	1.158502415	1.563276925	-1.086722967	-1.103895353	-0.493272225	-1.024963955	-1.109979306	-1.151922	-1.184901618	-1.217692175	-0.466559884	-0.579786554	-0.524137082	-1.330289697
Bradi2g39880.v3.1	1.111397882	1.404356697	0.811547898	1.37133132	1.311549697	-0.095505623	0.546361281	0.935711771	1.123835927	0.78356405	0.850901533	1.159067813	-1.14006421	-1.024938204	-1.055620587	-1.160141529	-0.990339098	-1.111146294	-1.004131933	-0.966480844	-0.205381795	-0.806594341	-0.793061383	-1.056220029
Bradi2g39900.v3.1	0.245271765	0.765852374	0.47824364	1.091036868	1.1784198	-0.596479894	1.593385256	-0.487934717	0.604338137	0.843532715	2.328261596	0.882340694	-0.77563026	-0.225450362	0.121498752	-0.705653594	-0.665981315	-0.406475429	-0.833887718	-0.514565672	-1.778094152	-0.971562866	-0.399061121	-1.771404497
Bradi2g39930.v3.1	-0.954810597	-1.14712246	-0.403784704	-1.112643325	1.409915203	-0.414266046	-0.678813585	0.116450146	-1.130116534	-0.120776581	2.635731074	-0.742002253	0.026912892	-0.505659203	-0.678245806	-1.094267468	-0.378967853	0.162608499	0.977034279	0.819524103	-0.201374817	0.215145937	1.727723266	1.471805832
Bradi2g39935.v3.1	0.206876803	1.29852793	1.468129744	0.023953515	0.136482778	2.265006439	0.314285537	2.134723086	0.239345377	0.020594656	0.930349203	0.363756186	-0.066740006	-0.951191139	-1.063953371	-1.101894536	-1.094640223	-0.966577736	0.166701124	-1.050920186	-0.798170239	-0.782280462	-1.009833627	-0.682530854
Bradi2g39950.v3.1	0.110663018	1.069907036	0.890306433	1.255090701	0.481336328	0.193304402	0.934248041	0.958424309	1.793406358	1.0304777	1.03935714	-0.016447801	-1.054787183	-1.715459742	-1.619320888	-1.28236812	-1.571171715	-1.090242262	-0.671092968	-0.437897671	0.102229413	0.319630893	-0.537398654	-0.182194769
Bradi2g39970.v3.1	1.16317433	-0.019732773	-0.169000695	-0.695895384	1.595877988	0.033482672	0.567028133	0.946766901	1.196523895	-0.291549308	3.31101444	-0.748294323	-0.872651123	-0.611354473	-0.596474674	-0.681466184	0.01229342	-0.065839068	-0.203599156	-0.536706041	-0.590970991	-0.629747051	-0.881608333	-1.231272201
Bradi2g39990.v3.1	-0.746244439	-0.74959243	-0.54051196	-0.620529432	-0.302791845	-1.032793641	-1.240115516	-1.104959413	-1.034430363	-0.799102542	-0.760675685	-0.818491855	0.618130348	0.538600861	0.686392316	1.267445812	1.526595794	1.259117501	0.013163215	0.043847186	0.585890552	0.639381583	2.802932695	-0.231258739
Bradi2g40000.v3.1	-1.289483667	-0.438410673	-1.622871487	-0.742766059	-0.345661126	-1.580719738	-0.255898228	-1.454793399	-0.642462219	-0.647949496	-0.279670532	-0.917504498	0.586666653	0.795488558	1.549617327	1.500161303	1.500336779	1.402749567	0.293803207	0.012634677	0.257941058	0.889861726	1.259277658	0.169652608
Bradi2g40010.v3.1	-0.89240847	-0.631012596	-0.788612827	-0.669603016	-0.708206642	-1.057991272	-0.760744423	-0.721570231	-0.901452114	-0.952198994	-0.581357222	-0.740643361	1.251005863	1.768014505	1.984806057	1.18537622	2.03055558	1.221708907	-0.069112804	-0.040850732	-0.170908911	-0.018412016	0.717937785	-0.454319285
Bradi2g40015.v3.1	1.379006419	1.057029115	1.478338978	1.604404231	2.026150605	0.881662125	0.234233765	0.312380031	0.391259479	0.137874211	0.500437591	0.909067505	-0.950474778	-0.939149903	-0.92258143	-0.914902156	-0.923620147	-0.950474778	-0.901837319	-0.844260113	-0.878055938	-0.950474778	-0.870425665	-0.86558705
Bradi2g40040.v3.1	-1.134732612	-0.521967092	-0.373351233	-0.468100668	-0.116958215	-0.601206121	0.791055731	0.878708951	1.48360175	0.61158259	1.338950576	-1.26262503	-0.424901372	-1.196898046	-1.752469922	-0.56357783	-1.495783362	-0.612832844	0.386783165	0.238804204	1.358586644	0.879599797	0.715663264	1.842067676
Bradi2g40100.v3.1	-0.609511168	-0.044097613	-0.181186811	-0.361434211	-0.069298491	-0.950439707	-1.16865008	-1.788987698	-0.985185009	-0.720231378	-1.5052973	-0.904742609	1.873617256	1.601783428	1.143072846	1.419289782	0.571589466	1.678456689	0.614890958	-0.515562716	0.306277132	0.302043848	0.116695396	0.176907993
Bradi2g40120.v3.1	-0.012010337	-0.360166742	1.621962904	1.067531332	0.885983835	1.581789512	-0.564548772	0.1959472	1.251072081	1.470321052	1.326728365	0.854626339	-1.078564764	-1.391430055	-1.256041083	-1.369123019	-0.863394194	-1.12514513	-0.904619681	-0.818423797	-0.191919531	0.047237821	0.016359819	-0.384173154
Bradi2g40142.v3.1	1.191711517	1.112073028	1.26040371	0.921302986	2.343027047	0.988852853	0.722111493	0.351393161	0.390365467	0.804986904	0.485319556	0.555934874	-1.033373746	-1.026031047	-0.932243528	-1.0563921	-1.0449258	-1.002664689	-0.911284796	-0.913539139	-0.806947616	-0.752122748	-0.876925003	-0.771032383
Bradi2g40170.v3.1	-0.762102276	-0.630897311	-0.992088624	-0.194174201	0.172304633	-0.967068277	-0.883004629	-1.640253631	-0.981751098	-0.695840745	-0.674930143	-0.895759515	1.25037489	0.988962691	1.571265576	1.109314159	2.253939846	0.809290179	0.385976437	-0.519514547	0.2068006	0.195902727	1.442402495	-0.549149237
Bradi2g40400.v3.1	1.202177763	1.126675372	1.069559765	1.192063088	1.328118608	1.055795376	0.583836682	0.748426164	0.751769392	0.88047655	0.740853184	1.165497603	-0.981216687	-0.986036685	-0.985354718	-0.981171242	-0.970955966	-0.979679594	-0.990979282	-0.992007326	-0.993496254	-0.993618469	-0.996065567	-0.994667756
Bradi2g40410.v3.1	0.409943272	0.647566815	-0.600647301	0.601558214	1.321779729	-0.898134675	2.279396569	0.449252116	1.208487935	1.100498451	2.144971853	0.048513418	-0.962334688	-0.333639115	-0.705286407	-0.336911703	-0.584117938	-1.174944799	-0.286059524	-1.107305823	-1.019813774	-0.609135004	-0.567646402	-1.025991215
Bradi2g40460.v3.1	-0.863792816	-0.365927274	-0.767939826	-0.664380975	-0.598141953	-0.975605333	-1.208800456	-1.202258437	-1.053244161	-0.930339687	-1.01648303	-1.288521955	1.229216251	1.112287987	1.204349421	1.520967875	0.865790171	1.87872598	0.014040759	0.071078596	0.863753868	0.8640417	0.822309218	0.488874075
Bradi2g40476.v3.1	0.590252661	1.209075567	0.736686858	1.111402958	1.498521122	0.387764038	1.668574745	0.498010244	1.028596434	1.164961163	1.050649734	0.525372966	-0.998526525	-1.038447079	-1.022355975	-1.041021062	-1.029404968	-1.027562032	-0.964715939	-1.068317335	-0.710508251	-0.719837581	-0.74556429	-1.103607453
