Gene,BhBd.10.1,BhBd.10.2,BhBd.10.3,BhBd.14.1,BhBd.14.2,BhBd.14.3,BhBd.18.1,BhBd.18.2,BhBd.18.3,BhBd.22.1,BhBd.22.2,BhBd.22.3,BhBd.2.1,BhBd.2.2,BhBd.2.3,BhBd.6.1,BhBd.6.2,BhBd.6.3
Bradi4g16020.v3.1,3.883752463,6.398768511,4.215102161,3.149769606,7.218271677,11.46017894,8.548588913,4.405788325,4.579827189,11.13550153,7.236567163,11.08378407,7.916243368,4.105452994,5.004220524,6.316658161,8.517914238,9.012962607
Bradi4g16040.v3.1,52.72488192,51.64720298,50.21469531,52.33463346,49.70764359,52.75634099,59.99842959,69.69156077,66.40749425,70.73105599,62.66209294,56.29395595,52.77495578,74.39080825,64.51870033,58.70776408,51.10748543,71.12046857
Bradi4g16050.v3.1,58.37397641,63.53063022,59.37796088,42.88532464,39.04428771,59.47437692,73.77115617,50.46630263,42.13441014,51.96567379,62.99102781,55.7105989,46.94193435,65.6872479,56.83364738,54.62051469,46.22221109,52.11131107
Bradi4g16063.v3.1,0.235378937,0,0.366530623,0.24228997,0,1.580714337,3.641065648,0.801052423,0.686974078,0,0.986804613,1.75007117,0.277762925,2.299053677,1.787221616,0,3.006322672,0.819360237
Bradi4g16140.v3.1,14.82887304,1.371164681,19.24285769,25.19815685,25.09989924,3.556607257,28.49529638,21.2278892,95.4893969,0.824851965,22.6965061,89.25362965,99.71689014,32.51518771,1.787221616,0.743136254,1.252634447,1.474848427
Bradi4g16160.v3.1,17.06497294,26.05212894,17.59346989,11.87220852,24.44369272,20.74687567,24.06269472,23.63104647,28.85291129,21.0337251,28.61733378,13.27137304,20.97110085,24.30428172,31.09765611,29.16809798,22.79794693,19.66464569
Bradi4g16170.v3.1,17.65342029,28.56593085,16.1273474,14.77968815,14.1084401,18.17821487,24.37930912,20.82736299,30.22685945,30.5195227,21.87416893,26.8344246,24.99866327,28.40973472,20.0168821,26.38133702,17.41161881,23.26983073
Bradi4g16230.v3.1,6.472920771,7.312878299,6.231020586,5.814959273,10.49930426,6.322857347,6.648902488,7.609998015,15.11342972,16.08461331,13.15739484,18.81326507,8.332887755,17.73555693,16.79988319,9.660771305,6.764226013,4.588417327
Bradi4g16260.v3.1,39.89672985,28.10887596,27.67306202,35.9800605,32.15411929,40.90098346,38.1520357,38.04999008,32.51677304,31.34437466,38.81431479,30.33456694,28.60958129,34.81424139,43.07204094,43.10190274,29.06111917,25.89178349
Bradi4g16280.v3.1,114.6295424,98.72385703,85.95143103,47.48883407,79.07288519,102.153664,93.40124923,45.25946188,109.4578698,77.12365871,102.7921472,111.1295193,88.46749167,77.18251629,78.28030677,96.60771305,72.15174414,80.95279141
Bradi4g16290.v3.1,22.59637797,15.99692128,33.35428667,20.35235746,16.4051629,38.33232266,20.10501467,18.82473193,21.06720507,21.44615109,25.65691994,33.54303075,12.49933163,9.524650946,8.578663755,17.27791791,23.29900071,18.02592521
Bradi4g16300.v3.1,8.826710143,9.826680214,8.613469634,12.59907843,14.1084401,9.879464604,18.52194264,9.612629072,10.53360254,9.279584605,13.65079715,21.29253256,10.69387262,14.45119454,15.19138373,10.2181235,6.137908789,9.012962607
Bradi4g16310.v3.1,5.884473428,7.998460639,4.581632784,5.936104258,8.530684709,6.718035931,14.08934099,5.206840747,4.579827189,7.423667684,6.578697421,8.896195112,7.638480442,10.67417778,5.71910917,3.715681271,3.006322672,3.605185043
Bradi4g16320.v3.1,10.94512058,3.199384256,1.649387802,7.268699092,6.562065161,3.359017965,7.123824094,9.612629072,5.495792627,7.836093666,4.276153324,7.000284678,9.721702381,4.433889234,5.71910917,3.715681271,4.885274343,8.849090559
Bradi4g16327.v3.1,11.41587845,18.96777809,18.14326582,19.14090761,26.5763639,16.99267912,18.04702104,19.42552125,20.60922235,17.32189126,25.65691994,19.54246139,16.94353844,19.70617437,19.65943777,20.80781512,12.9021348,18.35366931
Bradi4g16357.v3.1,8.2382628,6.398768511,10.99591868,1.453739818,8.202581451,10.66982177,12.66457617,3.604735902,4.579827189,5.773963754,11.51272049,6.271088358,10.55499116,6.240288551,15.01266157,27.86760953,5.511591566,9.176834654
Bradi4g16370.v3.1,8.2382628,2.742329362,6.597551209,3.876639516,4.593445612,7.903571683,2.216300829,3.604735902,2.289913595,5.773963754,3.289348711,3.791820867,3.888680952,5.583416072,1.072332969,8.917635051,5.386328121,3.932929137
