Gene,BhBs.10.1,BhBs.10.2,BhBs.10.3,BhBs.14.1,BhBs.14.2,BhBs.14.3,BhBs.18.1,BhBs.18.2,BhBs.18.3,BhBs.22.1,BhBs.22.2,BhBs.22.3,BhBs.2.1,BhBs.2.2,BhBs.2.3,BhBs.6.1,BhBs.6.2,BhBs.6.3
Bradi1g25240.v3.1,11.34916727,16.3842567,14.84079819,12.99355195,9.083284637,7.389996818,18.62814497,17.73835554,13.8320206,32.56860556,14.13459432,16.60469844,16.38991669,13.73573308,10.8232621,13.33565501,12.12715294,10.53276778
Bradi1g25260.v3.1,32.47793613,27.61917557,39.19492856,30.23499588,31.79149623,28.73887652,36.27586126,36.92053072,37.9188151,40.60501472,38.53359642,31.24702342,45.8630125,43.61095253,39.18767313,26.67131001,26.31850213,31.59830334
Bradi1g25270.v3.1,30.42542716,19.19298641,29.11079645,41.97916784,28.93194366,33.66554106,41.01459989,34.65167129,43.88089295,42.29689033,34.66340988,24.60514405,36.80542696,39.83362593,37.69480939,32.19608137,33.54318898,25.14273599
Bradi1g25293.v3.1,15.93712851,15.68207427,16.1726647,15.24243594,14.12955388,18.06443667,12.58216809,17.53209559,16.69381797,9.516800325,14.47113228,14.03851777,12.22055192,16.4828797,15.86167722,14.47871115,16.64258223,20.38600216
Bradi1g25302.v3.1,116.1478608,127.0950198,119.4874521,51.8492698,116.9052375,115.7766168,122.7169901,52.39002684,124.9651517,135.3500491,164.2305245,132.6866357,143.1961143,84.30306178,108.6058369,141.7389618,87.98636495,87.32004257
Bradi1g25310.v3.1,27.88997489,18.49080398,21.50013071,18.99057593,24.05388339,31.40748648,19.11835931,33.00159171,23.37134516,35.52938788,33.99033396,20.83134895,28.89801101,25.58280286,30.41709866,27.43334744,34.57528711,20.89565221
Bradi1g25320.v3.1,17.74816584,13.10740536,18.07533113,22.98859191,14.46597183,11.08499523,19.93538321,19.80095502,16.21685174,14.59242716,19.18266372,12.37804792,19.12156948,12.87724976,17.35454096,24.38519773,15.86850863,17.32810183
Bradi1g25340.v3.1,45.63814074,40.72658093,45.0931945,34.85770187,42.05224369,43.92942553,43.4656716,44.9646687,41.49606181,47.37251717,61.24990871,35.92652934,48.59466528,37.08647932,35.45551378,45.53173638,36.25244656,37.54422064
Bradi1g25350.v3.1,128.3421788,183.0355534,164.0098467,132.8090935,103.2803105,80.46885424,73.20534164,69.09708264,93.96234686,102.992928,73.19700629,95.4015401,52.18894526,58.72025892,62.700277,175.0780993,158.5560741,239.7054087
Bradi1g25360.v3.1,10.02107323,11.00085807,20.16826421,13.99305595,9.587911561,17.85915898,6.536191218,9.07543772,14.30898683,7.61344026,10.76921472,25.66180667,13.51449271,14.5942164,18.66079673,11.43056143,18.70677847,15.62926832
