Gene,Bs.10.1,Bs.10.2,Bs.10.3,Bs.14.1,Bs.14.2,Bs.14.3,Bs.18.1,Bs.18.2,Bs.18.3,Bs.22.1,Bs.22.2,Bs.22.3,Bs.2.1,Bs.2.2,Bs.2.3,Bs.6.1,Bs.6.2,Bs.6.3
Bradi3g29120.v3.1,13.26905299,24.40263991,14.85061648,11.70150778,10.82603997,22.92036763,11.68464815,19.4043029,24.47593864,13.39619699,17.10350872,19.20978573,17.35701013,21.52277804,15.08743896,21.63260717,14.50237725,16.68483089
Bradi3g29130.v3.1,5.591958044,4.675272132,9.639873853,4.695999832,3.71803393,5.393027678,3.669558923,6.468100966,3.519951042,5.381378279,3.32009287,6.841841492,3.103571349,2.722761077,6.383147253,5.503031649,4.569242146,6.298523659
Bradi3g29160.v3.1,9.57267394,9.008451182,10.03067955,16.2435404,10.60733209,9.88721741,11.29837879,15.46719796,15.88070935,8.472808354,12.57610936,12.49951811,9.195766959,7.131040915,18.95601306,8.823826609,12.91307563,11.22054877
Bradi3g29170.v3.1,11.18391609,7.754109878,9.900410984,7.159475154,9.185730886,9.707449821,11.87778283,13.4986455,6.139449491,10.64825915,9.557843111,10.78905774,8.965872785,15.04001357,6.286432901,10.53166402,8.641827538,8.467551675
Bradi3g29191.v3.1,5.307621194,2.622713635,3.908056967,5.696786681,6.561236347,5.123376294,5.021501684,8.155431653,6.794324104,3.892911946,6.64018574,5.789250493,2.758730088,2.333795209,5.996289844,3.984953952,3.97325404,4.838600957
Bradi3g29210.v3.1,28.43368497,32.6128739,33.34875279,30.94740873,38.49258657,28.31339531,39.20634007,25.49744149,26.76799978,33.89123341,32.3960577,35.13022458,57.12870223,56.1407403,61.60704243,43.07545463,39.83187176,38.83394389
Bradi3g29220.v3.1,6.918863343,5.929613436,4.42913123,7.69836038,7.764129677,11.32535812,4.924934344,6.843063341,5.075278246,6.984342021,7.344447864,4.868233369,5.747354349,10.24276786,6.383147253,8.539187041,7.151857273,8.425839597
Bradi3g29240.v3.1,11.08913714,5.359458298,6.383159714,7.544393173,15.74696723,11.23547433,9.560166668,16.12338212,14.98025676,8.014818713,9.859669735,9.341745114,7.126719393,8.816559677,16.15129684,9.867505025,13.31040104,10.05261061
Bradi3g29247.v3.1,44.54610645,34.89349445,46.24534078,37.49101505,53.58343017,50.60457638,54.36741246,62.89993838,54.10901485,43.50901587,47.38678005,50.52436794,47.93293527,55.49246385,42.07074326,57.30743303,46.68573498,47.92717672
Bradi3g29260.v3.1,23.69473747,29.3059741,33.21848422,36.72117901,29.19750174,38.73991549,46.06262122,40.3084553,43.13986509,39.15811428,40.24354994,37.36698046,68.04867549,75.84834428,48.84074792,44.30889276,35.56062366,31.28405791
Bradi3g29270.v3.1,141.1258564,187.9231335,156.9736215,146.0378964,175.4037183,169.5208367,148.8102711,149.8912094,150.0481456,150.5640944,177.8764907,160.9148489,169.3170591,157.7904872,126.3089441,183.9720408,167.6713205,191.0830257
Bradi3g29280.v3.1,12.32126349,11.28907173,14.32954221,14.85783553,11.15410179,15.72966406,15.64390909,14.9047544,19.89181635,9.961274686,14.48767798,11.84164874,14.25343879,16.20691117,20.50344269,12.42926114,14.8003713,10.51144346
Bradi3g29300.v3.1,18.29233733,21.09574011,14.72034791,17.78321248,20.23047874,23.63943799,22.8864596,18.37315637,18.17277049,16.48762707,18.0089886,25.52533172,20.46058148,26.70898961,20.60015704,19.82988991,17.87964318,18.01961736
Bradi3g29310.v3.1,6.350189643,5.24542727,4.819936927,6.004721096,6.889298164,3.865003169,5.697473064,4.124586124,9.577541206,10.19026951,7.948101113,1.842034248,6.437036871,2.722761077,6.576575958,7.021109345,4.469910795,10.72000384
Bradi3g29390.v3.1,6.918863343,13.68372331,6.77396541,9.699934079,11.26345573,12.13431228,13.13315825,20.99789299,17.76347386,10.99175138,10.06088748,16.97302986,16.7822747,16.98484291,9.864863937,11.19582301,12.51575023,11.01198838
Bradi3g29400.v3.1,15.16463198,12.08728893,15.892765,14.78085193,17.0592145,14.65105853,16.89928451,15.46719796,14.98025676,11.67873584,16.90229097,10.65748386,15.862698,15.8179453,22.14758668,9.772625169,14.30371455,11.47082123
