"","Gene","Bs.10.1","Bs.10.2","Bs.10.3","Bs.14.1","Bs.14.2","Bs.14.3","Bs.18.1","Bs.18.2","Bs.18.3","Bs.22.1","Bs.22.2","Bs.22.3","Bs.2.1","Bs.2.2","Bs.2.3","Bs.6.1","Bs.6.2","Bs.6.3"
"13770","Bradi4g34940.v3.1",18.19755838,19.95542983,20.71270193,31.56327756,33.79036719,38.73991549,42.39306229,47.15151864,64.34143067,35.15070493,36.11858607,35.65652008,35.63359696,51.60280517,37.91202611,25.99708055,20.66092101,20.06350914
"13802","Bradi4g35310.v3.1",39.90193791,36.83202192,30.09203865,20.63160582,23.94851267,19.68455103,11.00867677,7.218025716,11.54216504,19.23556491,10.86575848,6.578693742,14.71322713,13.09518423,16.34472554,18.31181221,33.97132205,46.50896609
"13829","Bradi4g35810.v3.1",139.0407195,178.9146823,179.3798148,176.5234035,183.8239717,237.2932178,201.7291734,213.3535913,254.3369276,228.1933385,241.7631263,195.3872042,175.8690431,166.0884257,165.8651142,124.6721308,99.62934506,122.9254916
"13842","Bradi4g35950.v3.1",56.10913834,84.49699146,65.13428279,72.21062037,59.48854288,61.39063174,38.53036869,35.34020383,43.05800576,33.43324377,37.52711032,31.05143446,11.4947087,11.53932075,8.801006061,71.53941143,74.99517001,66.48905108
"13860","Bradi4g36290.v3.1",57.05692784,49.83155907,54.19172328,56.81389961,66.70590286,66.51400803,70.30102358,67.68070866,74.08269053,65.95050827,71.53291002,81.31265466,81.03769632,84.66490396,89.26734719,51.89928124,56.71820143,59.52313419
"13917","Bradi4g37210.v3.1",7966.07596,6871.737786,7578.373803,5308.250433,4854.330711,3893.496332,2158.956022,2370.418393,1752.608181,2055.572005,1783.493524,1569.150031,421.510968,338.27065,420.5140039,2724.569945,3087.615715,3873.008081
"13942","Bradi4g37620.v3.1",31.94050612,37.28814603,38.55949541,40.18544118,29.41620962,33.34688781,38.04753199,35.52768502,41.17524125,48.89039415,40.64598544,41.57734445,47.35819984,46.28693831,45.16560253,49.90680426,38.73922689,44.71534677
"13987","Bradi4g38350.v3.1",60.65852794,70.47117507,66.30669988,83.29625931,92.73214037,91.95112191,75.51565994,106.0206115,112.310996,91.25443592,100.8100926,86.57560965,62.87605658,79.73800296,56.67461046,55.50471577,40.72585391,52.39036898
"14056","Bradi4g39269.v3.1",40.66016951,43.10372844,36.73573549,52.27186698,42.86674413,49.70573843,54.56054714,55.96313445,48.46072132,58.05018696,70.12438577,51.05066344,89.42883367,94.77801653,78.43533973,53.03783951,48.57303064,44.84048301
"14070","Bradi4g39480.v3.1",9.66745289,12.88550612,17.71652492,14.93481914,18.37146177,19.59466723,20.27914142,23.9038514,29.96051352,26.33440434,19.51812172,24.34116685,19.77089896,23.72691796,16.8282973,15.93981581,15.69435346,15.9340135
"14078","Bradi4g39590.v3.1",50.99107505,63.05915827,65.13428279,72.51855478,71.95489194,77.56971477,91.93210775,86.99127097,89.88154055,85.87305764,91.25224949,99.20670164,93.45198172,117.9863133,100.8730695,85.48675027,79.46508081,71.53621242
"14088","Bradi4g39920.v3.1",119.8005927,135.4688608,126.6210457,54.7353423,85.51478039,62.82877245,50.40815152,65.6184156,57.71082522,66.52299532,101.5143547,50.12964632,323.3461557,312.728558,282.9861949,123.3438128,193.1994777,236.048645
"14111","Bradi4g40280.v3.1",90.70345505,74.80435412,77.64006509,83.52721012,81.9061004,81.97402071,101.2025724,102.0835066,99.2953631,99.04025981,85.41693475,123.4162946,100.0039657,92.96284248,114.2196501,81.88131574,87.21292619,77.91816024
"14113","Bradi4g40300.v3.1",66.72438073,84.95311557,78.03087078,77.67645624,82.89028585,105.4336911,91.15956903,113.6135996,103.3064701,114.0394205,118.0142102,121.8374081,137.476716,153.7711732,111.4149339,85.2021107,89.79554131,88.72158824
"14127","Bradi4g40507.v3.1",37.05856941,46.98078338,48.19936927,47.03698192,47.35025564,55.45830129,55.71935522,55.77565326,59.75730838,45.79896407,56.44157879,67.62897167,59.1977498,56.78901674,58.80232621,47.53480786,41.32184202,43.83939315
"14141","Bradi4g40780.v3.1",518.251298,635.3808859,492.9362522,325.4866769,521.9463514,406.7241707,205.012463,269.035504,159.5438274,275.7097637,219.7297827,201.7027501,311.5066057,241.1588382,150.1973892,285.3986069,392.0608424,450.4904339
"14248","Bradi4g42810.v3.1",279.2187864,342.2071139,304.4376378,327.796185,331.0143737,317.2897951,353.7261667,380.3055887,382.528633,383.2228319,359.9785542,391.0375561,355.3014459,361.8679126,339.2739479,323.0659097,330.9720616,319.0973907
"14332","Bradi4g44120.v3.1",22.84172693,27.36744663,27.6169359,23.32603195,25.91688357,26.69548701,27.90796128,28.4033999,30.77910678,37.21165831,34.0057997,30.65671284,29.31150718,32.80278821,31.0453071,22.20188631,23.83952424,27.02942604
"14353","Bradi4g44460.v3.1",74.02235987,68.98877171,80.6362421,73.51934163,63.53463863,76.13157406,65.66579125,80.33568882,57.9564032,74.30881921,80.68831763,98.68040614,134.3731447,158.8277295,167.99283,96.96721284,93.37146995,91.76656987
"14374","Bradi4g44838.v3.1",92.1251393,68.5326476,73.08066529,71.36380072,57.73887985,63.7276104,52.24293098,59.05657404,61.0670576,60.6836274,63.08176453,58.28722656,66.09457501,72.60696205,66.44276005,106.9295977,87.80891429,102.6117099
